ImageId,ClassType,MultipolygonWKT
6180_2_0,3,MULTIPOLYGON EMPTY
6180_2_0,4,MULTIPOLYGON EMPTY
6180_2_0,5,MULTIPOLYGON EMPTY
6180_2_0,6,MULTIPOLYGON EMPTY
6180_2_0,7,MULTIPOLYGON EMPTY
6180_2_0,8,MULTIPOLYGON EMPTY
6180_2_0,9,MULTIPOLYGON EMPTY
6180_2_0,10,MULTIPOLYGON EMPTY
6180_2_3,1,MULTIPOLYGON EMPTY
6180_2_3,2,MULTIPOLYGON EMPTY
6180_2_3,3,MULTIPOLYGON EMPTY
6180_2_3,4,MULTIPOLYGON EMPTY
6180_2_3,5,MULTIPOLYGON EMPTY
6180_2_3,6,MULTIPOLYGON EMPTY
6180_2_3,7,MULTIPOLYGON EMPTY
6180_2_3,8,MULTIPOLYGON EMPTY
6180_2_3,9,MULTIPOLYGON EMPTY
6180_2_3,10,MULTIPOLYGON EMPTY
6180_2_2,1,MULTIPOLYGON EMPTY
6180_2_2,2,MULTIPOLYGON EMPTY
6180_2_2,3,MULTIPOLYGON EMPTY
6180_2_2,4,MULTIPOLYGON EMPTY
6180_2_2,5,MULTIPOLYGON EMPTY
6180_2_2,6,MULTIPOLYGON EMPTY
6180_2_2,7,MULTIPOLYGON EMPTY
6180_2_2,8,MULTIPOLYGON EMPTY
6180_2_2,9,MULTIPOLYGON EMPTY
6180_2_2,10,MULTIPOLYGON EMPTY
6180_0_3,1,MULTIPOLYGON EMPTY
6180_0_3,2,MULTIPOLYGON EMPTY
6180_0_3,3,MULTIPOLYGON EMPTY
6180_0_3,4,MULTIPOLYGON EMPTY
6180_0_3,5,MULTIPOLYGON EMPTY
6180_0_3,6,MULTIPOLYGON EMPTY
6180_0_3,7,MULTIPOLYGON EMPTY
6180_0_3,8,MULTIPOLYGON EMPTY
6180_0_3,9,MULTIPOLYGON EMPTY
6180_0_3,10,MULTIPOLYGON EMPTY
6180_0_2,1,MULTIPOLYGON EMPTY
6180_0_2,2,MULTIPOLYGON EMPTY
6180_0_2,3,MULTIPOLYGON EMPTY
6180_0_2,4,MULTIPOLYGON EMPTY
6180_0_2,5,MULTIPOLYGON EMPTY
6180_0_2,6,MULTIPOLYGON EMPTY
6180_0_2,7,MULTIPOLYGON EMPTY
6180_0_2,8,MULTIPOLYGON EMPTY
6180_0_2,9,MULTIPOLYGON EMPTY
6180_0_2,10,MULTIPOLYGON EMPTY
6180_0_1,1,MULTIPOLYGON EMPTY
6180_0_1,2,MULTIPOLYGON EMPTY
6180_0_1,3,MULTIPOLYGON EMPTY
6180_0_1,4,MULTIPOLYGON EMPTY
6180_0_1,5,MULTIPOLYGON EMPTY
6180_0_1,6,MULTIPOLYGON EMPTY
6180_0_1,7,MULTIPOLYGON EMPTY
6180_0_1,8,MULTIPOLYGON EMPTY
6180_0_1,9,MULTIPOLYGON EMPTY
6180_0_1,10,MULTIPOLYGON EMPTY
6180_0_0,1,MULTIPOLYGON EMPTY
6180_0_0,2,MULTIPOLYGON EMPTY
6180_0_0,3,MULTIPOLYGON EMPTY
6180_0_0,4,MULTIPOLYGON EMPTY
6180_0_0,5,MULTIPOLYGON EMPTY
6180_0_0,6,MULTIPOLYGON EMPTY
6180_0_0,7,MULTIPOLYGON EMPTY
6180_0_0,8,MULTIPOLYGON EMPTY
6180_0_0,9,MULTIPOLYGON EMPTY
6180_0_0,10,MULTIPOLYGON EMPTY
6180_0_4,1,MULTIPOLYGON EMPTY
6180_0_4,2,MULTIPOLYGON EMPTY
6180_0_4,3,MULTIPOLYGON EMPTY
6180_0_4,4,MULTIPOLYGON EMPTY
6180_0_4,5,MULTIPOLYGON EMPTY
6180_0_4,6,MULTIPOLYGON EMPTY
6180_0_4,7,MULTIPOLYGON EMPTY
6180_0_4,8,MULTIPOLYGON EMPTY
6180_0_4,9,MULTIPOLYGON EMPTY
6180_0_4,10,MULTIPOLYGON EMPTY
6080_4_4,1,MULTIPOLYGON EMPTY
6080_4_4,2,MULTIPOLYGON EMPTY
6080_4_4,3,MULTIPOLYGON EMPTY
6080_4_4,4,MULTIPOLYGON EMPTY
6080_4_4,5,MULTIPOLYGON EMPTY
6080_4_4,6,MULTIPOLYGON EMPTY
6080_4_4,7,MULTIPOLYGON EMPTY
6080_4_4,8,MULTIPOLYGON EMPTY
6080_4_4,9,MULTIPOLYGON EMPTY
6080_4_4,10,MULTIPOLYGON EMPTY
6080_4_2,1,MULTIPOLYGON EMPTY
6080_4_2,2,MULTIPOLYGON EMPTY
6080_4_2,3,MULTIPOLYGON EMPTY
6080_4_2,4,MULTIPOLYGON EMPTY
6080_4_2,5,MULTIPOLYGON EMPTY
6080_4_2,6,MULTIPOLYGON EMPTY
6080_4_2,7,MULTIPOLYGON EMPTY
6080_4_2,8,MULTIPOLYGON EMPTY
6080_4_2,9,MULTIPOLYGON EMPTY
6080_4_2,10,MULTIPOLYGON EMPTY
6080_4_3,1,MULTIPOLYGON EMPTY
6080_4_3,2,MULTIPOLYGON EMPTY
6080_4_3,3,MULTIPOLYGON EMPTY
6080_4_3,4,MULTIPOLYGON EMPTY
6080_4_3,5,MULTIPOLYGON EMPTY
6080_4_3,6,MULTIPOLYGON EMPTY
6080_4_3,7,MULTIPOLYGON EMPTY
6080_4_3,8,MULTIPOLYGON EMPTY
6080_4_3,9,MULTIPOLYGON EMPTY
6080_4_3,10,MULTIPOLYGON EMPTY
6080_4_0,1,MULTIPOLYGON EMPTY
6080_4_0,2,MULTIPOLYGON EMPTY
6080_4_0,3,MULTIPOLYGON EMPTY
6080_4_0,4,MULTIPOLYGON EMPTY
6080_4_0,5,MULTIPOLYGON EMPTY
6080_4_0,6,MULTIPOLYGON EMPTY
6080_4_0,7,MULTIPOLYGON EMPTY
6080_4_0,8,MULTIPOLYGON EMPTY
6080_4_0,9,MULTIPOLYGON EMPTY
6080_4_0,10,MULTIPOLYGON EMPTY
6080_4_1,1,MULTIPOLYGON EMPTY
6080_4_1,2,MULTIPOLYGON EMPTY
6080_4_1,3,MULTIPOLYGON EMPTY
6080_4_1,4,MULTIPOLYGON EMPTY
6080_4_1,5,MULTIPOLYGON EMPTY
6080_4_1,6,MULTIPOLYGON EMPTY
6080_4_1,7,MULTIPOLYGON EMPTY
6080_4_1,8,MULTIPOLYGON EMPTY
6080_4_1,9,MULTIPOLYGON EMPTY
6080_4_1,10,MULTIPOLYGON EMPTY
6090_4_1,1,MULTIPOLYGON EMPTY
6090_4_1,2,MULTIPOLYGON EMPTY
6090_4_1,3,MULTIPOLYGON EMPTY
6090_4_1,4,MULTIPOLYGON EMPTY
6090_4_1,5,MULTIPOLYGON EMPTY
6090_4_1,6,MULTIPOLYGON EMPTY
6090_4_1,7,MULTIPOLYGON EMPTY
6090_4_1,8,MULTIPOLYGON EMPTY
6090_4_1,9,MULTIPOLYGON EMPTY
6090_4_1,10,MULTIPOLYGON EMPTY
6090_4_0,1,MULTIPOLYGON EMPTY
6090_4_0,2,MULTIPOLYGON EMPTY
6090_4_0,3,MULTIPOLYGON EMPTY
6090_4_0,4,MULTIPOLYGON EMPTY
6090_4_0,5,MULTIPOLYGON EMPTY
6090_4_0,6,MULTIPOLYGON EMPTY
6090_4_0,7,MULTIPOLYGON EMPTY
6090_4_0,8,MULTIPOLYGON EMPTY
6090_4_0,9,MULTIPOLYGON EMPTY
6090_4_0,10,MULTIPOLYGON EMPTY
6090_4_3,1,MULTIPOLYGON EMPTY
6090_4_3,2,MULTIPOLYGON EMPTY
6090_4_3,3,MULTIPOLYGON EMPTY
6090_4_3,4,MULTIPOLYGON EMPTY
6090_4_3,5,MULTIPOLYGON EMPTY
6090_4_3,6,MULTIPOLYGON EMPTY
6090_4_3,7,MULTIPOLYGON EMPTY
6090_4_3,8,MULTIPOLYGON EMPTY
6090_4_3,9,MULTIPOLYGON EMPTY
6090_4_3,10,MULTIPOLYGON EMPTY
6090_4_2,1,MULTIPOLYGON EMPTY
6090_4_2,2,MULTIPOLYGON EMPTY
6090_4_2,3,MULTIPOLYGON EMPTY
6090_4_2,4,MULTIPOLYGON EMPTY
6090_4_2,5,MULTIPOLYGON EMPTY
6090_4_2,6,MULTIPOLYGON EMPTY
6090_4_2,7,MULTIPOLYGON EMPTY
6090_4_2,8,MULTIPOLYGON EMPTY
6090_4_2,9,MULTIPOLYGON EMPTY
6090_4_2,10,MULTIPOLYGON EMPTY
6090_4_4,1,MULTIPOLYGON EMPTY
6090_4_4,2,MULTIPOLYGON EMPTY
6090_4_4,3,MULTIPOLYGON EMPTY
6090_4_4,4,MULTIPOLYGON EMPTY
6090_4_4,5,MULTIPOLYGON EMPTY
6090_4_4,6,MULTIPOLYGON EMPTY
6090_4_4,7,MULTIPOLYGON EMPTY
6090_4_4,8,MULTIPOLYGON EMPTY
6090_4_4,9,MULTIPOLYGON EMPTY
6090_4_4,10,MULTIPOLYGON EMPTY
6180_4_4,1,MULTIPOLYGON EMPTY
6180_4_4,2,MULTIPOLYGON EMPTY
6180_4_4,3,MULTIPOLYGON EMPTY
6180_4_4,4,MULTIPOLYGON EMPTY
6180_4_4,5,MULTIPOLYGON EMPTY
6180_4_4,6,MULTIPOLYGON EMPTY
6180_4_4,7,MULTIPOLYGON EMPTY
6180_4_4,8,MULTIPOLYGON EMPTY
6180_4_4,9,MULTIPOLYGON EMPTY
6180_4_4,10,MULTIPOLYGON EMPTY
6180_4_3,1,MULTIPOLYGON EMPTY
6180_4_3,2,MULTIPOLYGON EMPTY
6180_4_3,3,MULTIPOLYGON EMPTY
6180_4_3,4,MULTIPOLYGON EMPTY
6180_4_3,5,MULTIPOLYGON EMPTY
6180_4_3,6,MULTIPOLYGON EMPTY
6180_4_3,7,MULTIPOLYGON EMPTY
6180_4_3,8,MULTIPOLYGON EMPTY
6180_4_3,9,MULTIPOLYGON EMPTY
6180_4_3,10,MULTIPOLYGON EMPTY
6180_4_2,1,MULTIPOLYGON EMPTY
6180_4_2,2,MULTIPOLYGON EMPTY
6180_4_2,3,MULTIPOLYGON EMPTY
6180_4_2,4,MULTIPOLYGON EMPTY
6180_4_2,5,MULTIPOLYGON EMPTY
6180_4_2,6,MULTIPOLYGON EMPTY
6180_4_2,7,MULTIPOLYGON EMPTY
6180_4_2,8,MULTIPOLYGON EMPTY
6180_4_2,9,MULTIPOLYGON EMPTY
6180_4_2,10,MULTIPOLYGON EMPTY
6180_4_1,1,MULTIPOLYGON EMPTY
6180_4_1,2,MULTIPOLYGON EMPTY
6180_4_1,3,MULTIPOLYGON EMPTY
6180_4_1,4,MULTIPOLYGON EMPTY
6180_4_1,5,MULTIPOLYGON EMPTY
6180_4_1,6,MULTIPOLYGON EMPTY
6180_4_1,7,MULTIPOLYGON EMPTY
6180_4_1,8,MULTIPOLYGON EMPTY
6180_4_1,9,MULTIPOLYGON EMPTY
6180_4_1,10,MULTIPOLYGON EMPTY
6180_4_0,1,MULTIPOLYGON EMPTY
6180_4_0,2,MULTIPOLYGON EMPTY
6180_4_0,3,MULTIPOLYGON EMPTY
6180_4_0,4,MULTIPOLYGON EMPTY
6180_4_0,5,MULTIPOLYGON EMPTY
6180_4_0,6,MULTIPOLYGON EMPTY
6180_4_0,7,MULTIPOLYGON EMPTY
6180_4_0,8,MULTIPOLYGON EMPTY
6180_4_0,9,MULTIPOLYGON EMPTY
6180_4_0,10,MULTIPOLYGON EMPTY
6160_3_2,1,MULTIPOLYGON EMPTY
6160_3_2,2,MULTIPOLYGON EMPTY
6160_3_2,3,MULTIPOLYGON EMPTY
6160_3_2,4,MULTIPOLYGON EMPTY
6160_3_2,5,MULTIPOLYGON EMPTY
6160_3_2,6,MULTIPOLYGON EMPTY
6160_3_2,7,MULTIPOLYGON EMPTY
6160_3_2,8,MULTIPOLYGON EMPTY
6160_3_2,9,MULTIPOLYGON EMPTY
6160_3_2,10,MULTIPOLYGON EMPTY
6160_3_3,1,MULTIPOLYGON EMPTY
6160_3_3,2,MULTIPOLYGON EMPTY
6160_3_3,3,MULTIPOLYGON EMPTY
6160_3_3,4,MULTIPOLYGON EMPTY
6160_3_3,5,MULTIPOLYGON EMPTY
6160_3_3,6,MULTIPOLYGON EMPTY
6160_3_3,7,MULTIPOLYGON EMPTY
6160_3_3,8,MULTIPOLYGON EMPTY
6160_3_3,9,MULTIPOLYGON EMPTY
6160_3_3,10,MULTIPOLYGON EMPTY
6160_3_0,1,MULTIPOLYGON EMPTY
6160_3_0,2,MULTIPOLYGON EMPTY
6160_3_0,3,MULTIPOLYGON EMPTY
6160_3_0,4,MULTIPOLYGON EMPTY
6160_3_0,5,MULTIPOLYGON EMPTY
6160_3_0,6,MULTIPOLYGON EMPTY
6160_3_0,7,MULTIPOLYGON EMPTY
6160_3_0,8,MULTIPOLYGON EMPTY
6160_3_0,9,MULTIPOLYGON EMPTY
6160_3_0,10,MULTIPOLYGON EMPTY
6160_3_1,1,MULTIPOLYGON EMPTY
6160_3_1,2,MULTIPOLYGON EMPTY
6160_3_1,3,MULTIPOLYGON EMPTY
6160_3_1,4,MULTIPOLYGON EMPTY
6160_3_1,5,MULTIPOLYGON EMPTY
6160_3_1,6,MULTIPOLYGON EMPTY
6160_3_1,7,MULTIPOLYGON EMPTY
6160_3_1,8,MULTIPOLYGON EMPTY
6160_3_1,9,MULTIPOLYGON EMPTY
6160_3_1,10,MULTIPOLYGON EMPTY
6160_3_4,1,MULTIPOLYGON EMPTY
6160_3_4,2,MULTIPOLYGON EMPTY
6160_3_4,3,MULTIPOLYGON EMPTY
6160_3_4,4,MULTIPOLYGON EMPTY
6160_3_4,5,MULTIPOLYGON EMPTY
6160_3_4,6,MULTIPOLYGON EMPTY
6160_3_4,7,MULTIPOLYGON EMPTY
6160_3_4,8,MULTIPOLYGON EMPTY
6160_3_4,9,MULTIPOLYGON EMPTY
6160_3_4,10,MULTIPOLYGON EMPTY
6080_2_4,1,MULTIPOLYGON EMPTY
6080_2_4,2,MULTIPOLYGON EMPTY
6080_2_4,3,MULTIPOLYGON EMPTY
6080_2_4,4,MULTIPOLYGON EMPTY
6080_2_4,5,MULTIPOLYGON EMPTY
6080_2_4,6,MULTIPOLYGON EMPTY
6080_2_4,7,MULTIPOLYGON EMPTY
6080_2_4,8,MULTIPOLYGON EMPTY
6080_2_4,9,MULTIPOLYGON EMPTY
6080_2_4,10,MULTIPOLYGON EMPTY
6080_2_0,1,MULTIPOLYGON EMPTY
6080_2_0,2,MULTIPOLYGON EMPTY
6080_2_0,3,MULTIPOLYGON EMPTY
6080_2_0,4,MULTIPOLYGON EMPTY
6080_2_0,5,MULTIPOLYGON EMPTY
6080_2_0,6,MULTIPOLYGON EMPTY
6080_2_0,7,MULTIPOLYGON EMPTY
6080_2_0,8,MULTIPOLYGON EMPTY
6080_2_0,9,MULTIPOLYGON EMPTY
6080_2_0,10,MULTIPOLYGON EMPTY
6080_2_1,1,MULTIPOLYGON EMPTY
6080_2_1,2,MULTIPOLYGON EMPTY
6080_2_1,3,MULTIPOLYGON EMPTY
6080_2_1,4,MULTIPOLYGON EMPTY
6080_2_1,5,MULTIPOLYGON EMPTY
6080_2_1,6,MULTIPOLYGON EMPTY
6080_2_1,7,MULTIPOLYGON EMPTY
6080_2_1,8,MULTIPOLYGON EMPTY
6080_2_1,9,MULTIPOLYGON EMPTY
6080_2_1,10,MULTIPOLYGON EMPTY
6080_2_2,1,MULTIPOLYGON EMPTY
6080_2_2,2,MULTIPOLYGON EMPTY
6080_2_2,3,MULTIPOLYGON EMPTY
6080_2_2,4,MULTIPOLYGON EMPTY
6080_2_2,5,MULTIPOLYGON EMPTY
6080_2_2,6,MULTIPOLYGON EMPTY
6080_2_2,7,MULTIPOLYGON EMPTY
6080_2_2,8,MULTIPOLYGON EMPTY
6080_2_2,9,MULTIPOLYGON EMPTY
6080_2_2,10,MULTIPOLYGON EMPTY
6080_2_3,1,MULTIPOLYGON EMPTY
6080_2_3,2,MULTIPOLYGON EMPTY
6080_2_3,3,MULTIPOLYGON EMPTY
6080_2_3,4,MULTIPOLYGON EMPTY
6080_2_3,5,MULTIPOLYGON EMPTY
6080_2_3,6,MULTIPOLYGON EMPTY
6080_2_3,7,MULTIPOLYGON EMPTY
6080_2_3,8,MULTIPOLYGON EMPTY
6080_2_3,9,MULTIPOLYGON EMPTY
6080_2_3,10,MULTIPOLYGON EMPTY
6080_0_2,1,MULTIPOLYGON EMPTY
6080_0_2,2,MULTIPOLYGON EMPTY
6080_0_2,3,MULTIPOLYGON EMPTY
6080_0_2,4,MULTIPOLYGON EMPTY
6080_0_2,5,MULTIPOLYGON EMPTY
6080_0_2,6,MULTIPOLYGON EMPTY
6080_0_2,7,MULTIPOLYGON EMPTY
6080_0_2,8,MULTIPOLYGON EMPTY
6080_0_2,9,MULTIPOLYGON EMPTY
6080_0_2,10,MULTIPOLYGON EMPTY
6080_0_3,1,MULTIPOLYGON EMPTY
6080_0_3,2,MULTIPOLYGON EMPTY
6080_0_3,3,MULTIPOLYGON EMPTY
6080_0_3,4,MULTIPOLYGON EMPTY
6080_0_3,5,MULTIPOLYGON EMPTY
6080_0_3,6,MULTIPOLYGON EMPTY
6080_0_3,7,MULTIPOLYGON EMPTY
6080_0_3,8,MULTIPOLYGON EMPTY
6080_0_3,9,MULTIPOLYGON EMPTY
6080_0_3,10,MULTIPOLYGON EMPTY
6080_0_0,1,MULTIPOLYGON EMPTY
6080_0_0,2,MULTIPOLYGON EMPTY
6080_0_0,3,MULTIPOLYGON EMPTY
6080_0_0,4,MULTIPOLYGON EMPTY
6080_0_0,5,MULTIPOLYGON EMPTY
6080_0_0,6,MULTIPOLYGON EMPTY
6080_0_0,7,MULTIPOLYGON EMPTY
6080_0_0,8,MULTIPOLYGON EMPTY
6080_0_0,9,MULTIPOLYGON EMPTY
6080_0_0,10,MULTIPOLYGON EMPTY
6080_0_1,1,MULTIPOLYGON EMPTY
6080_0_1,2,MULTIPOLYGON EMPTY
6080_0_1,3,MULTIPOLYGON EMPTY
6080_0_1,4,MULTIPOLYGON EMPTY
6080_0_1,5,MULTIPOLYGON EMPTY
6080_0_1,6,MULTIPOLYGON EMPTY
6080_0_1,7,MULTIPOLYGON EMPTY
6080_0_1,8,MULTIPOLYGON EMPTY
6080_0_1,9,MULTIPOLYGON EMPTY
6080_0_1,10,MULTIPOLYGON EMPTY
6080_0_4,1,MULTIPOLYGON EMPTY
6080_0_4,2,MULTIPOLYGON EMPTY
6080_0_4,3,MULTIPOLYGON EMPTY
6080_0_4,4,MULTIPOLYGON EMPTY
6080_0_4,5,MULTIPOLYGON EMPTY
6080_0_4,6,MULTIPOLYGON EMPTY
6080_0_4,7,MULTIPOLYGON EMPTY
6080_0_4,8,MULTIPOLYGON EMPTY
6080_0_4,9,MULTIPOLYGON EMPTY
6080_0_4,10,MULTIPOLYGON EMPTY
6010_0_4,1,MULTIPOLYGON EMPTY
6010_0_4,2,MULTIPOLYGON EMPTY
6010_0_4,3,MULTIPOLYGON EMPTY
6010_0_4,4,MULTIPOLYGON EMPTY
6010_0_4,5,MULTIPOLYGON EMPTY
6010_0_4,6,MULTIPOLYGON EMPTY
6010_0_4,7,MULTIPOLYGON EMPTY
6010_0_4,8,MULTIPOLYGON EMPTY
6010_0_4,9,MULTIPOLYGON EMPTY
6010_0_4,10,"MULTIPOLYGON (((0.0000000 0.0000000, 0.0000000 5.0000000, 1.0000000 5.0000000, 1.0000000 1.0000000, 2.0000000 1.0000000, 2.0000000 0.0000000, 0.0000000 0.0000000)), ((256.0000000 0.0000000, 256.0000000 4.0000000, 257.0000000 4.0000000, 257.0000000 1.0000000, 258.0000000 1.0000000, 259.0000000 1.0000000, 259.0000000 0.0000000, 256.0000000 0.0000000)), ((511.0000000 0.0000000, 511.0000000 1.0000000, 512.0000000 1.0000000, 512.0000000 0.0000000, 511.0000000 0.0000000)), ((768.0000000 0.0000000, 768.0000000 5.0000000, 771.0000000 5.0000000, 771.0000000 4.0000000, 772.0000000 4.0000000, 772.0000000 3.0000000, 771.0000000 3.0000000, 771.0000000 2.0000000, 772.0000000 2.0000000, 773.0000000 2.0000000, 773.0000000 1.0000000, 777.0000000 1.0000000, 778.0000000 1.0000000, 778.0000000 0.0000000, 768.0000000 0.0000000)), ((2176.0000000 0.0000000, 2176.0000000 5.0000000, 2179.0000000 5.0000000, 2179.0000000 4.0000000, 2180.0000000 4.0000000, 2180.0000000 3.0000000, 2181.0000000 3.0000000, 2181.0000000 1.0000000, 2187.0000000 1.0000000, 2188.0000000 1.0000000, 2188.0000000 0.0000000, 2176.0000000 0.0000000), (2179.0000000 1.0000000, 2180.0000000 1.0000000, 2180.0000000 2.0000000, 2179.0000000 2.0000000, 2179.0000000 1.0000000)), ((2303.0000000 0.0000000, 2303.0000000 1.0000000, 2304.0000000 1.0000000, 2304.0000000 4.0000000, 2305.0000000 4.0000000, 2305.0000000 1.0000000, 2306.0000000 1.0000000, 2306.0000000 0.0000000, 2303.0000000 0.0000000)), ((2432.0000000 0.0000000, 2432.0000000 4.0000000, 2434.0000000 4.0000000, 2434.0000000 3.0000000, 2433.0000000 3.0000000, 2433.0000000 1.0000000, 2434.0000000 1.0000000, 2435.0000000 1.0000000, 2435.0000000 0.0000000, 2432.0000000 0.0000000)), ((2559.0000000 0.0000000, 2559.0000000 1.0000000, 2560.0000000 1.0000000, 2560.0000000 0.0000000, 2559.0000000 0.0000000)), ((2817.0000000 0.0000000, 2817.0000000 1.0000000, 2818.0000000 1.0000000, 2818.0000000 0.0000000, 2817.0000000 0.0000000)), ((3200.0000000 0.0000000, 3200.0000000 5.0000000, 3201.0000000 5.0000000, 3201.0000000 4.0000000, 3202.0000000 4.0000000, 3203.0000000 4.0000000, 3203.0000000 3.0000000, 3201.0000000 3.0000000, 3201.0000000 1.0000000, 3202.0000000 1.0000000, 3203.0000000 1.0000000, 3203.0000000 0.0000000, 3200.0000000 0.0000000)), ((3325.0000000 0.0000000, 3325.0000000 1.0000000, 3328.0000000 1.0000000, 3328.0000000 5.0000000, 3331.0000000 5.0000000, 3331.0000000 4.0000000, 3335.0000000 4.0000000, 3336.0000000 4.0000000, 3336.0000000 2.0000000, 3334.0000000 2.0000000, 3334.0000000 1.0000000, 3339.0000000 1.0000000, 3340.0000000 1.0000000, 3340.0000000 0.0000000, 3325.0000000 0.0000000)), ((2816.0000000 1.0000000, 2816.0000000 4.0000000, 2817.0000000 4.0000000, 2817.0000000 1.0000000, 2816.0000000 1.0000000)), ((2944.0000000 1.0000000, 2944.0000000 4.0000000, 2945.0000000 4.0000000, 2945.0000000 1.0000000, 2944.0000000 1.0000000)), ((3072.0000000 2.0000000, 3072.0000000 3.0000000, 3073.0000000 3.0000000, 3073.0000000 2.0000000, 3072.0000000 2.0000000)), ((0.0000000 382.0000000, 0.0000000 384.0000000, 1.0000000 384.0000000, 1.0000000 382.0000000, 0.0000000 382.0000000)), ((1578.0000000 608.0000000, 1578.0000000 610.0000000, 1577.0000000 610.0000000, 1577.0000000 613.0000000, 1578.0000000 613.0000000, 1578.0000000 612.0000000, 1579.0000000 612.0000000, 1579.0000000 611.0000000, 1580.0000000 611.0000000, 1580.0000000 608.0000000, 1578.0000000 608.0000000)), ((1920.0000000 1985.0000000, 1920.0000000 1988.0000000, 1921.0000000 1988.0000000, 1921.0000000 1985.0000000, 1920.0000000 1985.0000000)), ((0.0000000 2043.0000000, 0.0000000 2048.0000000, 2.0000000 2048.0000000, 2.0000000 2047.0000000, 3.0000000 2047.0000000, 3.0000000 2045.0000000, 2.0000000 2045.0000000, 2.0000000 2044.0000000, 1.0000000 2044.0000000, 1.0000000 2043.0000000, 0.0000000 2043.0000000)), ((0.0000000 2173.0000000, 0.0000000 2176.0000000, 1.0000000 2176.0000000, 1.0000000 2173.0000000, 0.0000000 2173.0000000)), ((0.0000000 2557.0000000, 0.0000000 2560.0000000, 1.0000000 2560.0000000, 1.0000000 2557.0000000, 0.0000000 2557.0000000)), ((0.0000000 2686.0000000, 0.0000000 2687.0000000, 1.0000000 2687.0000000, 1.0000000 2686.0000000, 0.0000000 2686.0000000)), ((0.0000000 2942.0000000, 0.0000000 2943.0000000, 1.0000000 2943.0000000, 1.0000000 2942.0000000, 0.0000000 2942.0000000)), ((0.0000000 3328.0000000, 0.0000000 3348.0000000, 3.0000000 3348.0000000, 3.0000000 3333.0000000, 4.0000000 3333.0000000, 4.0000000 3336.0000000, 5.0000000 3336.0000000, 5.0000000 3339.0000000, 6.0000000 3339.0000000, 6.0000000 3338.0000000, 7.0000000 3338.0000000, 7.0000000 3328.0000000, 0.0000000 3328.0000000)))"
6010_0_1,1,MULTIPOLYGON EMPTY
6010_0_1,2,MULTIPOLYGON EMPTY
6010_0_1,3,MULTIPOLYGON EMPTY
6010_0_1,4,MULTIPOLYGON EMPTY
6010_0_1,5,MULTIPOLYGON EMPTY
6010_0_1,6,MULTIPOLYGON EMPTY
6010_0_1,7,MULTIPOLYGON EMPTY
6010_0_1,8,MULTIPOLYGON EMPTY
6010_0_1,9,MULTIPOLYGON EMPTY
6010_0_1,10,MULTIPOLYGON EMPTY
6010_0_0,1,MULTIPOLYGON EMPTY
6010_0_0,2,MULTIPOLYGON EMPTY
